ticker,days vs spy,alpha vs spy,beta vs spy,days vs vgt,alpha vs vgt,beta vs vgt
PEK,1825,-0.06173867010816947,0.9385630042962853,1825,-0.08801745111835696,0.6812107751623406
PEX,1738,-0.1001168462816258,0.5023114922806486,1738,-0.11944837259544952,0.3655789734235079
PEY,1825,0.009197718628516266,0.7565312427053819,1825,0.010930779369242864,0.4683547231829691
PEZ,1825,-0.04325653864860921,1.0451277824338097,1825,-0.08062316904574898,0.7871090798008573
PFF,1825,-0.040492047630831404,0.17995875141547885,1825,-0.044707763288669385,0.12771492414873706
PFI,1825,-0.009207112261633607,0.8688778816615855,1825,-0.023658187942070648,0.5958349176601339
PFIG,1825,0.011545814083428047,-0.03284466689213367,1825,0.01217039462996136,-0.02279921922741589
PFM,1825,-0.006732879888792173,0.809060479772354,1825,-0.014085456742820615,0.5333100722136423
PFXF,1825,-0.04444422095762751,0.25843302573363874,1825,-0.0471228466163395,0.1715146610824683
PGAL,1558,-0.1748261366305213,0.8653243730792655,1558,-0.2035911487291712,0.581294057229113
PGF,1825,-0.01810029286392501,0.13667897787109723,1825,-0.02205429914555395,0.09964980280822928
PGHY,1659,-0.02737509938903918,0.08652653616552917,1659,-0.02972108575141751,0.05791249720140959
PGJ,1825,-0.010289451026231728,1.2129343482815045,1825,-0.08248771334915679,1.0150719653107179
PGM,1825,0.23968785530802839,0.10234347720748013,1825,0.2367473907139236,0.07454517361898728
PGX,1825,-0.020411420317500026,0.14415424247912884,1825,-0.024462611397467228,0.10468034909526183
PHB,1825,-0.03731523439702013,0.21898423796861072,1825,-0.04082981491975912,0.14971956088492042
PHDG,1794,-0.04220550432948643,0.40717245992563667,1794,-0.05113875958798179,0.28826314360632865
PHO,1825,-0.01614354887828747,0.9889302459593847,1825,-0.032254158531806174,0.6769731621492077
PIC,1691,3324.509237087195,-57.99003168426226,1691,3318.4388903135573,-11.912238667899718
PICB,1825,-0.014284021282760566,0.03578018284441582,1825,-0.014311165112394523,0.022535284460824485
PICK,1825,-0.24309888571002855,1.206303123123004,1825,-0.2607563389865138,0.8187492141149975
PID,1825,-0.11623212441306588,0.8710756470618644,1825,-0.1249257586704075,0.5769280250063276
PIE,1825,-0.12638825940804183,0.9577045132888302,1825,-0.153756431651208,0.6970536882911295
PIN,1825,-0.10478384869903642,0.923527646237403,1825,-0.11717995351477453,0.6228683894640281
PIO,1825,-0.02148045948301089,0.8993125573009589,1825,-0.034716417132722326,0.6106408826869865
PIZ,1825,-0.051127335213784236,0.8508098947804997,1825,-0.07223392080192065,0.6079529236137466
PJP,1825,-0.038611325452553594,1.0531368721327288,1825,-0.05386221814027037,0.7142114934299248
PKB,1825,-0.01325287153771081,1.0882331814718795,1825,-0.031003837595933982,0.7450307720152687
PKW,1825,0.00159665228203,1.00422111856268,1825,-0.01585796719887897,0.6912982363914342
PLTM,1825,0.010385286070957974,-0.3774481000818639,1825,0.011844975986708986,-0.24186063652671536
PLW,1825,0.05529330151034528,-0.19895376057625747,1825,0.057622019073058015,-0.13297922915879523
PMR,1825,-0.023347817301254868,0.7883935994014013,1825,-0.031109841798794897,0.5217913858463228
PNQI,1825,0.07590841831832211,1.216404924472359,1825,0.0026308117156671174,1.0210514076783754
PPA,1825,0.1029228034952943,0.947883111709876,1825,0.0828340920971003,0.665246399072057
